Fig 4B - PPT,Vole ID,Partner,Novel,,,,,,,,,,,,
,4534,0.25850613,0.12761618,0.54787269,-1.951813,0.61391801,-0.8787325,1.06547544,-0.3680479,,,,,,
,,,,,,,,,,,,,,,
,,Pre-separation,Pre-separation,Pre-separation,Pre-separation,Post-separation,Post-separation,Post-separation,Post-separation,,,,,,
Fig 4L - Partner Pre/Post AUC,Vole ID,Lever Out,Lever Press,Chamber Open,Chamber Entry,Lever Out,Lever Press,Chamber Open,Chamber Entry,,,,,,
,4275,1.40724553,2.1438415,2.79597096,1.58582349,1.68605698,3.0504522,2.07880629,2.05127461,,,,,,
,4277,0.43958004,0.98336068,1.67735226,2.30811704,-0.4588052,0.7600201,0.64548149,-0.4588052,,,,,,
,4236,0.93694276,1.04470215,2.93258801,2.78525498,0.76064683,0.863955,1.60411322,3.72081351,,,,,,
,4291,0.7128772,2.60485857,3.23633567,2.62660415,-0.6968881,1.9777584,0.56717004,1.4247738,,,,,,
,4386,-0.2483627,-0.430874,0.60965459,2.17217021,0.53803072,4.29845005,3.37499412,2.10571519,,,,,,
,4475,1.61663657,3.94658703,4.45297223,3.85221237,0.58598563,1.34599354,1.57528242,-1.0708779,,,,,,
,4476,2.26661448,3.04371121,4.20865488,4.68801105,0.7386841,0.90717628,1.48971101,3.38422337,,,,,,
,4480,1.55844114,1.93716158,2.97016013,3.2732912,0.92875974,1.92591554,1.52218,1.43573182,,,,,,
,4531,0.62665411,0.47500422,1.00692236,1.60068284,-0.4056079,,,,,,,,,
,4532,0.9019655,0.50754801,1.00886951,1.56671637,0.34694039,0.93810496,0.10173606,0.25805359,,,,,,
,4534,0.73025905,0.68323059,1.66958608,1.04491181,0.25850613,0.12761618,0.54787269,-1.951813,,,,,,
,,,,,,,,,,,,,,,
,,Pre-separation,Pre-separation,Pre-separation,Pre-separation,Post-separation,Post-separation,Post-separation,Post-separation,,,,,,
Fig 4N - Novel Pre/Post AUC,Vole ID,Lever Out,Lever Press,Chamber Open,Chamber Entry,Lever Out,Lever Press,Chamber Open,Chamber Entry,,,,,,
,4275,0.37571689,-0.6511777,-0.0827438,-0.1458837,-0.5420097,0.57286926,-0.1887337,0.38806454,,,,,,
,4277,-0.0354417,0.70319691,2.21753012,2.34027845,0.18984297,1.39979234,2.43453514,4.58465421,,,,,,
,4236,0.76038611,0.9396226,2.36111701,2.03894586,-0.199241,-0.3331866,2.84968741,4.26535752,,,,,,
,4291,0.85913597,1.82287652,1.7737371,4.35280801,0.50521014,1.73768742,1.65796736,3.85424969,,,,,,
,4386,0.92194213,-0.3027862,1.63870861,3.84871707,0.72640382,1.38277907,2.33770911,5.65392332,,,,,,
,4475,0.18240522,1.8177716,3.80671495,2.44824829,1.00457769,2.44759112,2.66651949,2.8087828,,,,,,
,4476,1.62812746,2.40904176,2.87396144,2.45914797,1.39687569,,,,,,,,,
,4480,0.23578332,0.30568198,2.1700483,2.04695132,2.79536931,,,,,,,,,
,4531,0.68348327,0.27390609,0.1055506,1.66779766,-1.7702945,,,,,,,,,
,4532,0.71177406,0.85472023,0.72501828,0.47705238,-0.2881719,0.98488066,0.12267457,-1.0530228,,,,,,
,4534,1.08879147,-0.4112624,1.43100232,-0.8274098,0.61391801,-0.8787325,1.06547544,-0.3680479,,,,,,
